time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
1,25,62,0,61,0,10,31,7,76,33,1,0,9
2,26,28,4,53,0,35,11,0,39,82,4,0,10
3,35,40,5,23,0,42,38,0,41,60,0,3,30
4,63,7,2,43,0,0,23,43,83,8,0,0,15
5,0,0,0,38,3,0,21,0,30,0,0,10,17
6,0,46,0,81,0,0,27,1,39,53,0,9,0
7,0,0,0,40,0,37,35,16,9,40,0,13,16
8,0,51,0,26,0,14,32,13,0,22,0,62,22
9,0,11,0,38,0,1,58,44,0,85,2,74,2
10,31,66,22,26,2,50,38,90,21,85,4,21,25
11,0,61,16,24,0,1,70,65,18,49,14,30,27
12,43,53,0,21,0,13,49,0,34,0,0,55,57
13,20,40,0,35,0,0,47,3,31,39,0,50,51
14,0,30,4,51,3,5,25,0,38,83,0,40,54
15,25,70,0,55,2,10,53,46,29,79,0,55,28
16,53,30,6,35,16,43,51,26,0,85,0,32,32
17,37,70,0,67,54,50,46,82,0,84,0,0,47
18,45,72,3,49,17,76,36,49,0,98,0,0,46
19,45,60,7,34,6,29,29,23,0,67,0,0,9
20,59,62,6,63,25,27,17,10,4,71,0,18,31
21,32,39,4,50,0,23,42,49,0,67,0,25,9
22,42,79,0,48,0,21,48,12,0,86,0,13,4
23,44,62,0,71,13,2,50,62,0,40,0,13,25
24,40,47,0,28,18,55,75,36,0,22,0,13,0
25,43,69,0,30,15,26,39,36,1,0,0,0,33
26,54,60,0,5,30,69,45,26,0,2,0,0,2
27,28,0,0,31,37,51,37,10,39,45,0,0,0
28,54,2,0,36,4,48,65,0,12,24,12,0,1
29,35,50,0,0,55,61,45,0,0,21,33,0,1
30,23,54,0,0,65,35,20,0,0,19,46,0,6
31,29,18,0,43,37,47,5,11,0,7,6,0,2
32,50,31,0,48,84,44,18,21,0,18,21,0,3
33,44,33,11,47,53,54,0,81,0,0,18,0,0
34,80,80,44,47,52,21,0,46,14,13,54,0,0
35,30,52,4,7,72,15,17,64,0,3,19,0,0
36,37,41,1,25,72,35,15,62,31,12,10,0,55
37,73,73,0,46,49,36,42,93,51,20,2,9,11
38,44,29,0,46,80,35,37,33,39,0,32,0,28
39,52,56,0,57,76,62,47,19,43,0,13,19,10
40,89,43,0,63,84,8,55,88,0,16,17,11,42
41,34,32,18,15,63,50,33,68,0,69,21,28,11
42,28,24,24,43,58,49,71,43,0,66,51,29,6
43,35,85,30,53,63,10,29,31,19,75,27,27,0
44,30,33,30,61,53,1,32,14,67,32,84,2,8
45,48,60,40,37,33,31,45,0,57,60,61,1,53
46,21,42,7,42,49,7,37,22,95,85,28,0,1
47,12,0,0,51,43,0,48,86,78,67,34,0,26
48,32,0,13,55,14,14,30,50,74,98,13,0,39
49,3,46,0,13,74,59,62,42,92,77,0,18,61
50,4,47,13,32,58,67,65,67,70,72,6,26,42
51,54,45,70,36,35,79,50,60,21,71,25,0,58
52,17,78,7,31,50,79,36,56,0,73,49,0,58
53,7,82,8,45,29,49,47,15,0,86,77,0,45
54,18,62,7,65,62,59,40,74,42,99,63,0,58
55,48,80,0,25,38,34,79,91,94,49,70,70,29
56,60,90,0,8,11,38,27,45,84,0,44,18,36
57,16,67,13,60,114.3688469,45,37,20,62,21,45,8,30
58,13,75,38,31,77,10,11,77,95,63,34,0,28
59,33,74,0,0,59,74,57,83,113,75,68,14,66
60,53,33,30,11,32,50,53,66,96,87,57,28,49
61,43,32,53,45,31,76,47,45,75,72,66,23,32
62,57,32,37,66,5,85,57,88,70,77,70,16,0
63,47,27,0,29,19,71,54,75,5,73,52,32,7
64,71,29,0,37,47,74,36,97,11,57,80,44,82
65,24,51,9,69,13,86,50,67,89,67,45,40,27
66,45,10,49,70,0,58,16,5,74,85,47,50,49
67,12,34,36,21,8,6,32,76,50,50,33,29,26
68,28,98,52,66,13,46,48,108,100,72,64,26,45
69,26,73,44,63,2,88,45,90,64,9,41,43,58
70,10,65,39,49,0,76,52,12,93,50,28,28,15
71,56,71,36,32,8,24,81,25,105,105,41,62,12
72,66,86,51,58,39,9,68,67,70,40,28,81,39
73,31,71,48,67,71,0,52,57,97,21,23,61,57
74,40,41,53,43,33,79,61,78,29,94,65,45,56
75,32,51,25,54,30,69,44,90,20,73,31,28,15
76,13,24,10,87,15,78,57,63,32,109,32,10,26
77,42,17,0,40,5,82,54,70,81,83,49,13,42
78,32,4,14,75,38,87,45,58,87,90,50,0,20
79,31,59,19,60,23,58,50,28,98,93,45,0,65
80,23,42,6,28,2,77,66,80,68,85,52,35,17
81,32,86,4,15,17,50,31,74,103,11,30,66,39
82,25,61,0,23,45,47,46,67,65,82,41,35,40
83,14,25,0,55,45,35,28,35,76,61,43,32,57
84,41,63,0,59,60,60,37,108,64,54,62,52,57
85,41,58,0,37,87,52,31,55,88,56,87,27,33
86,33,23,0,36,65,67,33,22,77,91,54,47,49
87,49,72,0,49,80,90,48,4,69,71,32,13,29
88,43,86,0,2,16,18,59,62,79,89,65,46,33
89,26,48,0,13,34,46,49,72,45,77,86,17,18
90,0,71,0,64,69,90,51,74,83,72,14,19,38
