time,m1_act,m2_act,m3_act,m4_act,m5_act,m6_act,m7_act,m8_act,m9_act,m10_act,m11_act,m12_act,m13_act,m1_temp,m2_temp,m3_temp,m4_temp,m5_temp,m6_temp,m7_temp,m8_temp,m9_temp,m10_temp,m11_temp,m12_temp,m13_temp,day,hour,is_night,is_estrus,f1_act,f2_act,f3_act,f4_act,f5_act,f6_act,f7_act,f8_act,f9_act,f10_act,f11_act,f12_act,f13_act,f1_temp,f2_temp,f3_temp,f4_temp,f5_temp,f6_temp,f7_temp,f8_temp,f9_temp,f10_temp,f11_temp,f12_temp,f13_temp
10,23.116666666666667,16.133333333333333,20.433333333333334,13.25,26.266666666666666,13.15,31.966666666666665,2.6,3.2,49.61666666666667,35.483333333333334,6.6,6.666666666666667,37.067,36.33266666666667,36.5435,36.0905,36.402833333333334,36.486999999999995,37.18116666666666,35.97183333333333,36.1715,37.325,36.6735,36.044666666666664,36.26366666666667,1,10,False,False,13.75,10.783333333333333,1.4833333333333334,2.216666666666667,52.15,46.13333333333333,13.066666666666666,31.233333333333334,6.666666666666667,3.3833333333333333,17.983333333333334,23.466666666666665,2.783333333333333,36.807,37.275333333333336,36.28616666666667,36.75633333333334,38.608,37.695,37.474000000000004,37.43316666666667,37.03333333333333,36.792833333333334,37.734500000000004,36.776500000000006,36.48883333333333
11,4.233333333333333,13.716666666666667,8.0,26.35,6.05,16.916666666666668,24.116666666666667,27.783333333333335,18.4,21.833333333333332,4.85,25.816666666666666,0.8833333333333333,36.098333333333336,36.402,35.70133333333333,36.8275,36.16213955933333,36.592166666666664,36.85333333333333,36.67766666666667,36.11116666666667,36.49066666666667,36.401500000000006,36.962833333333336,35.878166666666665,1,11,False,False,5.816666666666666,18.816666666666666,9.133333333333333,16.55,18.25,7.283333333333333,21.733333333333334,15.05,20.933333333333334,10.0,12.35,18.716666666666665,2.6,36.75266666666666,37.24433333333333,36.649833333333326,37.20883333333334,37.92333333333333,36.58383333333334,37.39149999999999,36.812,36.901500000000006,36.9525,37.56516666666666,36.66566666666667,36.649
12,20.083333333333332,34.65,17.95,1.65,74.143590365,2.5,26.3,2.95,0.3,10.9,12.433333333333334,5.083333333333333,15.5,36.70366666666666,36.959833333333336,36.15,35.780499999999996,37.06166666666666,35.6135,36.9715,35.967999999999996,35.819833333333335,36.572,36.33754976983333,36.1055,36.00366666666666,1,12,True,False,4.65,8.933333333333334,3.066666666666667,6.05,8.784490683166666,3.45,7.316666666666666,1.5333333333333334,1.9333333333333333,1.7333333333333334,8.566666666666666,3.933333333333333,1.45,36.38766666666667,37.155166666666666,36.45183333333333,36.721333333333334,37.51352886433334,36.477666666666664,37.152,36.187,36.16233333333333,36.48966666666667,37.945,36.5315,36.15233333333333
13,1.4333333333333333,13.6,15.9,1.3333333333333333,23.516666666666666,0.45,1.45,0.6666666666666666,0.6166666666666667,0.3333333333333333,7.333333333333333,4.7,46.666666666666664,35.721000000000004,36.31366666666667,36.12566666666667,35.49366666666666,36.561,35.57,35.825,35.93766666666667,36.392,35.8425,35.948166666666665,35.667833333333334,37.3985,1,13,True,False,20.433333333333334,4.8,32.266666666666666,13.033333333333333,5.216666666666667,5.9,6.166666666666667,6.116666666666666,8.833333333333334,0.7833333333333333,3.066666666666667,12.716666666666667,12.9,37.068666666666665,36.81266666666667,37.440333333333335,36.72516666666666,37.322,36.107,36.87266666666667,36.38033333333333,36.4135,36.104166666666664,37.50833333333333,36.5325,36.15
14,23.283333333333335,1.4666666666666666,18.816666666666666,14.15,47.45,22.166666666666668,1.0833333333333333,15.816666666666666,24.033333333333335,15.05,18.183333333333334,18.15,16.883333333333333,36.58566666666666,35.420833333333334,36.270999999999994,36.3675,37.299499999999995,36.4405,35.42583333333334,36.61416666666666,36.06366666666667,36.24033333333333,36.424499999999995,36.16566666666667,36.30116666666667,1,14,True,False,6.516666666666667,31.483333333333334,18.15,3.9166666666666665,13.866666666666667,4.083333333333333,3.533333333333333,10.283333333333333,10.1,7.783333333333333,32.63333333333333,1.7833333333333334,1.5666666666666667,36.87833333333333,37.79633333333334,36.9245,36.647666666666666,37.450833333333335,36.406,36.75266666666666,36.590333333333334,36.4795,36.23566666666667,37.92666666666666,36.410833333333336,36.03516666666667
15,4.7,0.48333333333333334,4.833333333333333,1.3833333333333333,5.533333333333333,2.1666666666666665,8.45,1.15,7.1,6.866666666666666,15.0,4.433333333333334,24.316666666666666,35.64083333333333,35.36816666666667,35.710166666666666,35.41816666666667,35.86215362366667,35.350833333333334,35.921166666666664,35.56516666666666,35.537,35.67833333333333,36.20916666666667,35.67466666666667,36.53483333333334,1,15,True,False,8.25,3.2333333333333334,23.425781049333334,2.8833333333333333,2.25,5.0,5.383333333333334,5.466666666666667,2.716666666666667,14.183333333333334,5.316666666666666,1.7166666666666666,1.5833333333333333,36.45633333333333,36.82566666666666,37.385999999999996,36.481833333333334,37.152,36.370666666666665,36.75183333333334,36.734833333333334,36.3365,36.8625,37.305166666666665,35.94716666666667,36.249
16,5.716666666666667,17.783333333333335,20.85,3.85,41.666666666666664,3.95,0.8666666666666667,31.38877429833333,4.05,3.2,14.883333333333333,3.2333333333333334,4.183333333333334,35.843333333333334,36.02016666666667,36.27733333333333,35.37983333333333,37.231272466,35.3075,35.3855,36.94783333333333,35.465,35.63866666666667,36.83116666666667,35.54866666666667,36.07666666666667,1,16,True,False,4.366666666666666,2.45,27.466666666666665,8.55,3.9,2.783333333333333,3.433333333333333,4.016666666666667,3.2666666666666666,2.7333333333333334,18.15,10.1,4.716666666666667,36.59316666666667,36.7395,37.3405,36.6593945955,37.123333333333335,36.36383333333333,36.550333333333334,36.55416666666667,36.405166666666666,36.70766666666667,37.38183333333333,36.4675,35.916666666666664
17,1.7666666666666666,0.48333333333333334,7.816666666666666,6.933333333333334,8.683333333333334,3.7666666666666666,4.328279906666666,2.533333333333333,3.2666666666666666,17.75,0.9833333333333333,19.433333333333334,20.25,35.442,35.78916666666667,36.26199999999999,36.0775,36.09466666666666,35.58316666666666,35.402833333333334,36.039833333333334,35.40566666666667,36.119,35.80733333333333,36.119166666666665,36.242333333333335,1,17,True,False,4.083333333333333,8.283333333333333,2.5833333333333335,5.566666666666666,3.7,4.033333333333333,8.85,1.4166666666666667,1.3,1.2166666666666666,5.433333333333334,5.816666666666666,2.3,36.40383333333333,36.79666666666667,36.21483333333333,36.4795,37.11416666666666,36.150333333333336,36.83883333333333,36.1125,36.27633333333333,35.993833333333335,37.49883333333333,36.36,35.723
18,19.983333333333334,4.1,2.6333333333333333,1.2333333333333334,3.8666666666666667,4.6,17.116666666666667,0.7166666666666667,24.231527096666664,0.3,10.733333333333333,9.460855255,39.55,36.04216666666667,35.5035,35.95316666666667,36.332166666666666,35.48283333333333,36.030499999999996,35.81516666666666,35.567,35.9215,35.561166666666665,36.257333333333335,35.782000000000004,37.17133333333334,1,18,True,False,10.7,17.116666666666667,16.359114382666668,4.383333333333334,2.8,14.0,1.5166666666666666,1.3333333333333333,24.316666666666666,3.9166666666666665,0.9,12.466666666666667,21.916666666666668,36.64033333333334,37.282000000000004,36.717999999999996,36.492333333333335,37.083,36.6385,36.733,36.04516666666667,36.73466666666666,36.13166666666667,37.31166666666666,36.484500000000004,36.498333333333335
19,14.283333333333333,0.6166666666666667,11.1,5.633333333333334,42.793590365,1.1333333333333333,5.983333333333333,10.933333333333334,1.5166666666666666,15.183333333333334,16.033333333333335,5.05,3.6666666666666665,35.8525,35.43566666666666,35.957,36.68066666666667,36.71915797133333,35.64633333333334,35.55583333333333,36.1575,35.30116666666667,35.8667883165,36.283,35.272666666666666,35.595666666666666,1,19,True,False,2.8333333333333335,59.266666666666666,1.7666666666666666,20.75,19.466666666666665,2.6333333333333333,3.433333333333333,18.016666666666666,1.6666666666666667,4.866666666666666,16.116666666666667,2.066666666666667,3.783333333333333,36.49966666666667,38.29533333333333,36.3865,36.9715,37.50533333333333,36.4415,36.59066666666667,37.12033333333333,36.21083333333333,36.112833333333334,37.788333333333334,36.19683333333333,36.23966666666667
